YearMonth,"Undergraduate full-time, non-visiting","Graduate full-time, non-visiting","Total (including part-time, visiting)"
2006-01,2888,1892,4924
2006-02,2888,1892,4924
2006-03,2888,1892,4924
2006-04,2888,1892,4924
2006-08,2959,2013,5119
2006-09,2959,2013,5119
2006-10,2959,2013,5119
2006-11,2959,2013,5119
2006-12,2959,2013,5119
2007-01,2886,1934,5015
2007-02,2886,1934,5015
2007-03,2886,1934,5015
2007-04,2886,1934,5015
2007-08,2960,2144,5243
2007-09,2960,2144,5243
2007-10,2960,2144,5243
2007-11,2960,2144,5243
2007-12,2960,2144,5243
2008-01,2883,2031,5133
2008-02,2883,2031,5133
2008-03,2883,2031,5133
2008-04,2883,2031,5133
2008-08,3065,2237,5456
2008-09,3065,2237,5456
2008-10,3065,2237,5456
2008-11,3065,2237,5456
2008-12,3065,2237,5456
2009-01,2984,2143,5328
2009-02,2984,2143,5328
2009-03,2984,2143,5328
2009-04,2984,2143,5328
2009-08,3238,2277,5664
2009-09,3238,2277,5664
2009-10,3238,2277,5664
2009-11,3238,2277,5664
2009-12,3238,2277,5664
2010-01,3160,2155,5441
2010-02,3160,2155,5441
2010-03,3160,2155,5441
2010-04,3160,2155,5441
2010-08,3443,2275,5878
2010-09,3443,2275,5878
2010-10,3443,2275,5878
2010-11,3443,2275,5878
2010-12,3443,2275,5878
2011-01,3361,2164,5654
2011-02,3361,2164,5654
2011-03,3361,2164,5654
2011-04,3361,2164,5654
2011-08,3667,2373,6222
2011-09,3667,2373,6222
2011-10,3667,2373,6222
2011-11,3667,2373,6222
2011-12,3667,2373,6222
2012-01,3591,2238,5974
2012-02,3591,2238,5974
2012-03,3591,2238,5974
2012-04,3591,2238,5974
2012-08,3775,2541,6478
2012-09,3775,2541,6478
2012-10,3775,2541,6478
2012-11,3775,2541,6478
2012-12,3775,2541,6478
2013-01,3693,2436,6278
2013-02,3693,2436,6278
2013-03,3693,2436,6278
2013-04,3693,2436,6278
2013-08,3885,2567,6629
2013-09,3885,2567,6629
2013-10,3885,2567,6629
2013-11,3885,2567,6629
2013-12,3885,2567,6629
2014-01,3785,2434,6364
2014-02,3785,2434,6364
2014-03,3785,2434,6364
2014-04,3785,2434,6364
2014-08,3845,2610,6621
2014-09,3845,2610,6621
2014-10,3845,2610,6621
2014-11,3845,2610,6621
2014-12,3845,2610,6621
2015-01,3733,2457,6350
2015-02,3733,2457,6350
2015-03,3733,2457,6350
2015-04,3733,2457,6350
2015-08,3839,2744,6719
2015-09,3839,2744,6719
2015-10,3839,2744,6719
2015-11,3839,2744,6719
2015-12,3839,2744,6719
2016-01,3724,2596,6437
2016-02,3724,2596,6437
2016-03,3724,2596,6437
2016-04,3724,2596,6437
2016-08,3839,2861,6855
2016-09,3839,2861,6855
2016-10,3839,2861,6855
2016-11,3839,2861,6855
2016-12,3839,2861,6855
2017-01,3707,2726,6566
2017-02,3707,2726,6566
2017-03,3707,2726,6566
2017-04,3707,2726,6566
2017-08,3933,2934,7022
2017-09,3933,2934,7022
2017-10,3933,2934,7022
2017-11,3933,2934,7022
2017-12,3933,2934,7022
2018-01,3809,2728,6658
2018-02,3809,2728,6658
2018-03,3809,2728,6658
2018-04,3809,2728,6658
2018-08,3927,2983,7080
2018-09,3927,2983,7080
2018-10,3927,2983,7080
2018-11,3927,2983,7080
2018-12,3927,2983,7080
2019-01,3806,2788,6736
2019-02,3806,2788,6736
2019-03,3806,2788,6736
2019-04,3806,2788,6736
2019-08,3942,3018,7108
2019-09,3942,3018,7108
2019-10,3942,3018,7108
2019-11,3942,3018,7108
2019-12,3942,3018,7108
2020-01,3854,2817,6830
2020-02,3854,2817,6830
2020-03,3854,2817,6830
2020-04,3854,2817,6830
2020-08,4013,3098,7257
2020-09,4013,3098,7257
2020-10,4013,3098,7257
2020-11,4013,3098,7257
2020-12,4013,3098,7257
2021-01,3941,2909,7014
2021-02,3941,2909,7014
2021-03,3941,2909,7014
2021-04,3941,2909,7014
2021-08,4202,3506,7819
2021-09,4202,3506,7819
2021-10,4202,3506,7819
2021-11,4202,3506,7819
2021-12,4202,3506,7819
2022-01,4111,3371,7606
2022-02,4111,3371,7606
2022-03,4111,3371,7606
2022-04,4111,3371,7606
2022-08,4447,3685,8272
2022-09,4447,3685,8272
2022-10,4447,3685,8272
2022-11,4447,3685,8272
2022-12,4447,3685,8272
2023-01,4340,3270,7745
2023-02,4340,3270,7745
2023-03,4340,3270,7745
2023-04,4340,3270,7745
2023-08,4528,3578,8225
2023-09,4528,3578,8225
2023-10,4528,3578,8225
2023-11,4528,3578,8225
2023-12,4528,3578,8225
