YearMonth,Call Count
2006-01,30
2006-02,50
2006-03,33
2006-04,90
2006-05,35
2006-06,25
2006-07,19
2006-08,40
2006-09,94
2006-10,94
2006-11,38
2006-12,22
2007-01,19
2007-02,40
2007-03,62
2007-04,52
2007-05,30
2007-06,41
2007-07,10
2007-08,51
2007-09,96
2007-10,95
2007-11,57
2007-12,22
2008-01,31
2008-02,56
2008-03,91
2008-04,56
2008-05,47
2008-06,48
2008-07,17
2008-08,53
2008-09,55
2008-10,75
2008-11,64
2008-12,25
2009-01,49
2009-02,61
2009-03,86
2009-04,46
2009-05,36
2009-06,35
2009-07,20
2009-08,44
2009-09,83
2009-10,75
2009-11,59
2009-12,22
2010-01,33
2010-02,48
2010-03,93
2010-04,59
2010-05,46
2010-06,24
2010-07,24
2010-08,75
2010-09,107
2010-10,115
2010-11,66
2010-12,35
2011-01,46
2011-02,72
2011-03,122
2011-04,76
2011-05,28
2011-06,51
2011-07,21
2011-08,53
2011-09,116
2011-10,137
2011-11,69
2011-12,30
2012-01,59
2012-02,59
2012-03,140
2012-04,85
2012-05,36
2012-06,45
2012-07,24
2012-08,83
2012-09,116
2012-10,137
2012-11,69
2012-12,18
2013-01,45
2013-02,45
2013-03,98
2013-04,67
2013-05,26
2013-06,30
2013-07,22
2013-08,41
2013-09,102
2013-10,103
2013-11,61
2013-12,24
2014-01,34
2014-02,47
2014-03,81
2014-04,69
2014-05,49
2014-06,26
2014-07,20
2014-08,50
2014-09,80
2014-10,95
2014-11,56
2014-12,25
2015-01,33
2015-02,48
2015-03,87
2015-04,66
2015-05,36
2015-06,20
2015-07,22
2015-08,38
2015-09,81
2015-10,104
2015-11,66
2015-12,23
2016-01,43
2016-02,37
2016-03,96
2016-04,74
2016-05,35
2016-06,20
2016-07,17
2016-08,61
2016-09,91
2016-10,117
2016-11,61
2016-12,13
2017-01,44
2017-02,51
2017-03,43
2017-04,91
2017-05,38
2017-06,17
2017-07,14
2017-08,70
2017-09,68
2017-10,85
2017-11,87
2017-12,19
2018-01,50
2018-02,49
2018-03,70
2018-04,59
2018-05,51
2018-06,27
2018-07,13
2018-08,59
2018-09,106
2018-10,64
2018-11,75
2018-12,23
2019-01,53
2019-02,45
2019-03,94
2019-04,49
2019-05,20
2019-06,25
2019-07,42
2019-08,52
2019-09,97
2019-10,82
2019-11,86
2019-12,20
2020-01,36
2020-02,57
2020-03,15
2020-04,5
2020-05,6
2020-06,2
2020-07,4
2020-08,18
2020-09,30
2020-10,28
2020-11,15
2020-12,1
2021-01,7
2021-02,36
2021-03,27
2021-04,52
2021-05,22
2021-06,25
2021-07,14
2021-08,94
2021-09,104
2021-10,90
2021-11,81
2021-12,34
2022-01,27
2022-02,45
2022-03,82
2022-04,108
2022-05,34
2022-06,22
2022-07,22
2022-08,84
2022-09,127
2022-10,155
2022-11,81
2022-12,31
2023-01,59
2023-02,77
2023-03,78
2023-04,148
2023-05,37
2023-06,33
2023-07,26
2023-08,119
2023-09,126
2023-10,153
2023-11,82
2023-12,3
