YearMonth,Call Count,Number of Special Events,"Undergraduate full-time, non-visiting","Graduate full-time, non-visiting","Total (including part-time, visiting)"
2006-01,30,7.0,2888,1892,4924
2006-02,50,21.0,2888,1892,4924
2006-03,33,16.0,2888,1892,4924
2006-04,90,12.0,2888,1892,4924
2006-08,40,4.0,2959,2013,5119
2006-09,94,8.0,2959,2013,5119
2006-10,94,10.0,2959,2013,5119
2006-11,38,5.0,2959,2013,5119
2006-12,22,6.0,2959,2013,5119
2007-01,19,4.0,2886,1934,5015
2007-02,40,16.0,2886,1934,5015
2007-03,62,13.0,2886,1934,5015
2007-04,52,12.0,2886,1934,5015
2007-08,51,1.0,2960,2144,5243
2007-09,96,3.0,2960,2144,5243
2007-10,95,3.0,2960,2144,5243
2007-11,57,6.0,2960,2144,5243
2007-12,22,2.0,2960,2144,5243
2008-01,31,0.0,2883,2031,5133
2008-02,56,4.0,2883,2031,5133
2008-03,91,19.0,2883,2031,5133
2008-04,56,13.0,2883,2031,5133
2008-08,53,2.0,3065,2237,5456
2008-09,55,6.0,3065,2237,5456
2008-10,75,9.0,3065,2237,5456
2008-11,64,12.0,3065,2237,5456
2008-12,25,8.0,3065,2237,5456
2009-01,49,8.0,2984,2143,5328
2009-02,61,10.0,2984,2143,5328
2009-03,86,19.0,2984,2143,5328
2009-04,46,17.0,2984,2143,5328
2009-08,44,2.0,3238,2277,5664
2009-09,83,3.0,3238,2277,5664
2009-10,75,10.0,3238,2277,5664
2009-11,59,14.0,3238,2277,5664
2009-12,22,6.0,3238,2277,5664
2010-01,33,9.0,3160,2155,5441
2010-02,48,13.0,3160,2155,5441
2010-03,93,17.0,3160,2155,5441
2010-04,59,15.0,3160,2155,5441
2010-08,75,1.0,3443,2275,5878
2010-09,107,5.0,3443,2275,5878
2010-10,115,5.0,3443,2275,5878
2010-11,66,9.0,3443,2275,5878
2010-12,35,8.0,3443,2275,5878
2011-01,46,9.0,3361,2164,5654
2011-02,72,12.0,3361,2164,5654
2011-03,122,20.0,3361,2164,5654
2011-04,76,22.0,3361,2164,5654
2011-08,53,5.0,3667,2373,6222
2011-09,116,8.0,3667,2373,6222
2011-10,137,10.0,3667,2373,6222
2011-11,69,11.0,3667,2373,6222
2011-12,30,8.0,3667,2373,6222
2012-01,59,11.0,3591,2238,5974
2012-02,59,21.0,3591,2238,5974
2012-03,140,20.0,3591,2238,5974
2012-04,85,21.0,3591,2238,5974
2012-08,83,7.0,3775,2541,6478
2012-09,116,7.0,3775,2541,6478
2012-10,137,34.0,3775,2541,6478
2012-11,69,9.0,3775,2541,6478
2012-12,18,13.0,3775,2541,6478
2013-01,45,5.0,3693,2436,6278
2013-02,45,17.0,3693,2436,6278
2013-03,98,26.0,3693,2436,6278
2013-04,67,15.0,3693,2436,6278
2013-08,41,3.0,3885,2567,6629
2013-09,102,5.0,3885,2567,6629
2013-10,103,10.0,3885,2567,6629
2013-11,61,17.0,3885,2567,6629
2013-12,24,8.0,3885,2567,6629
2014-01,34,12.0,3785,2434,6364
2014-02,47,16.0,3785,2434,6364
2014-03,81,21.0,3785,2434,6364
2014-04,69,17.0,3785,2434,6364
2014-08,50,3.0,3845,2610,6621
2014-09,80,7.0,3845,2610,6621
2014-10,95,10.0,3845,2610,6621
2014-11,56,5.0,3845,2610,6621
2014-12,25,7.0,3845,2610,6621
2015-01,33,8.0,3733,2457,6350
2015-02,48,9.0,3733,2457,6350
2015-03,87,20.0,3733,2457,6350
2015-04,66,18.0,3733,2457,6350
2015-08,38,4.0,3839,2744,6719
2015-09,81,5.0,3839,2744,6719
2015-10,104,12.0,3839,2744,6719
2015-11,66,14.0,3839,2744,6719
2015-12,23,8.0,3839,2744,6719
2016-01,43,10.0,3724,2596,6437
2016-02,37,16.0,3724,2596,6437
2016-03,96,24.0,3724,2596,6437
2016-04,74,23.0,3724,2596,6437
2016-08,61,7.0,3839,2861,6855
2016-09,91,9.0,3839,2861,6855
2016-10,117,10.0,3839,2861,6855
2016-11,61,12.0,3839,2861,6855
2016-12,13,10.0,3839,2861,6855
2017-01,44,11.0,3707,2726,6566
2017-02,51,16.0,3707,2726,6566
2017-03,43,24.0,3707,2726,6566
2017-04,91,21.0,3707,2726,6566
2017-08,70,7.0,3933,2934,7022
2017-09,68,13.0,3933,2934,7022
2017-10,85,9.0,3933,2934,7022
2017-11,87,9.0,3933,2934,7022
2017-12,19,6.0,3933,2934,7022
2018-01,50,6.0,3809,2728,6658
2018-02,49,11.0,3809,2728,6658
2018-03,70,29.0,3809,2728,6658
2018-04,59,19.0,3809,2728,6658
2021-01,7,7.0,3941,2909,7014
2021-02,36,9.0,3941,2909,7014
2021-03,27,22.0,3941,2909,7014
2021-04,52,15.0,3941,2909,7014
2021-08,94,4.0,4202,3506,7819
2021-09,104,13.0,4202,3506,7819
2021-10,90,15.0,4202,3506,7819
2021-11,81,20.0,4202,3506,7819
2021-12,34,9.0,4202,3506,7819
2022-01,27,8.0,4111,3371,7606
2022-02,45,13.0,4111,3371,7606
2022-03,82,30.0,4111,3371,7606
2022-04,108,23.0,4111,3371,7606
2022-08,84,11.0,4447,3685,8272
2022-09,127,21.0,4447,3685,8272
2022-10,155,33.0,4447,3685,8272
2022-11,81,19.0,4447,3685,8272
2022-12,31,14.0,4447,3685,8272
2023-01,59,8.0,4340,3270,7745
2023-02,77,17.0,4340,3270,7745
2023-03,78,23.0,4340,3270,7745
2023-04,148,23.0,4340,3270,7745
2023-08,119,16.0,4528,3578,8225
2023-09,126,19.0,4528,3578,8225
2023-10,153,18.0,4528,3578,8225
2023-11,82,26.0,4528,3578,8225
2023-12,3,9.0,4528,3578,8225
