Date,Hours,Paid Staff,Volunteer Staff,Total Staff
2017/1,96.0,30,51,81
2017/2,168.0,30,51,81
2017/3,168.0,30,51,81
2017/4,144.0,30,51,81
2017/5,0.0,30,51,81
2017/6,0.0,30,51,81
2017/7,0.0,30,48,78
2017/8,0.0,30,48,78
2017/9,300.0,30,48,78
2017/10,348.0,30,48,78
2017/11,324.0,30,48,78
2017/12,156.0,30,48,78
2018/1,216.0,30,48,78
2018/2,240.0,30,48,78
2018/3,204.0,30,48,78
2018/4,156.0,30,48,78
2018/5,120.0,30,48,78
2018/6,96.0,30,48,78
2018/7,96.0,28,75,103
2018/8,144.0,28,75,103
2018/9,300.0,28,75,103
2018/10,300.0,28,75,103
2018/11,276.0,28,75,103
2018/12,96.0,28,75,103
2019/1,168.0,28,75,103
2019/2,156.0,28,75,103
2019/3,156.0,28,75,103
2019/4,144.0,28,75,103
2019/5,204.0,28,75,103
2019/6,228.0,28,75,103
2019/7,36.0,24,69,93
2019/8,72.0,24,69,93
2019/9,312.0,24,69,93
2019/10,420.0,24,69,93
2019/11,516.0,24,69,93
2019/12,288.0,24,69,93
2020/1,348.0,24,69,93
2020/2,528.0,24,69,93
2020/3,468.0,24,69,93
2020/4,276.0,24,69,93
2020/5,276.0,24,69,93
2020/6,24.0,24,69,93
2020/7,0.0,22,69,91
2020/8,348.0,22,69,91
2020/9,504.0,22,69,91
2020/10,528.0,22,69,91
2020/11,480.0,22,69,91
2020/12,312.0,22,69,91
2021/1,600.0,22,69,91
2021/2,1296.0,22,69,91
2021/3,1296.0,22,69,91
2021/4,1464.0,22,69,91
2021/5,348.0,22,69,91
2021/6,840.0,22,69,91
2021/7,432.0,28,64,92
2021/8,372.0,28,64,92
2021/9,960.0,28,64,92
2021/10,1080.0,28,64,92
2021/11,660.0,28,64,92
2021/12,408.0,28,64,92
2022/1,732.0,28,64,92
2022/2,996.0,28,64,92
2022/3,864.0,28,64,92
2022/4,684.0,28,64,92
2022/5,228.0,28,64,92
2022/6,60.0,28,64,92
2022/7,60.0,26,73,99
2022/8,660.0,26,73,99
2022/9,996.0,26,73,99
2022/10,984.0,26,73,99
2022/11,1032.0,26,73,99
2022/12,696.0,26,73,99
2023/1,924.0,26,73,99
2023/2,864.0,26,73,99
2023/3,1116.0,26,73,99
2023/4,924.0,26,73,99
2023/5,348.0,26,73,99
2023/6,108.0,26,73,99
2023/7,144.0,30,67,97
2023/8,240.0,30,67,97
2023/9,624.0,30,67,97
2023/10,612.0,30,67,97
2023/11,720.0,30,67,97
2023/12,384.0,30,67,97
